ID	Arabic Name / الاسم بالعربي	Scientific Name / الاسم العلمي	العائلة	Classification / التصنيف	Seed Shape (Arabic) / شكل البذرة	Cotyledon Type / نوع الفلقة	Flower Type / نوع الزهرة	Male Flowers			Female Flowers			الزهرة أحادية الجنس (خنثى)			
								Sepal / سبالات	Petal / بتلات	Stamens  / الاسدية	Sepal / سبالات	Petal / بتلات	Carpels / الكرابل	Sepal / سبالات	Petal / بتلات	الطلع / الاسدية	المتاع / الكربلات
1	الصنوبر	Pinus	Pinaceae	بري	عارية البذور	لا ينتمي	أحادية الجنس	لا يوجد	لا يوجد	عدد غير منتهي من الاسدية	لا يوجد	لا يوجد	من 1 الى مالانهاية من الكربلات	الازهار أحادية الجنس			
2	البلوط	Quercus	Fagaceae	بري	مغطاة البذور	فلقتين	أحادية الجنس	4 الى 8 سبالات	لا يوجد	4 الى 40 سداة	6 الى 8 سبالات	لا يوجد	3 الى 6 مع اندماج الكربلات للتشكل مبيض كبير	الازهار أحادية الجنس			
3	الليمون	Citrus limon	Rutaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 سبالات	4 الى 5 بتلات	8 الى 10	4 الى 5 مع اندماج الكربلات لتشكل مبيض كبير
4	الصفصاف	Salix	Salicaceae	بري	مغطاة البذور	فلقتين	أحادية الجنس	لا يوجد	لا يوجد	2 الى عدد غير محدد من الاسدية	لا يوجد	لا يوجد	2 الى 4 كربلات تندمج للتشكل مبيض كبير	الازهار أحادية الجنس			
5	الثيل الامريكي	Cynodon dactylon	Poaceae	نباتات الزينة	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
6	الفاصوليا	Phaseolus vulgaris	Fabaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 بتلات منفردة	10 اسدية مندمجة	كربلة واحدة تشكل مبيض كبير
7	القرنفل	Dianthus	Caryophyllaceae	نباتات الزينة	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 سبالات	4 الى 5 سبالات	4 الى 10	2 الى 5 كربلات تندمج تشكل مبيض كبير
8	السبانغ	Spinacia	Amaranthaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 تبالات		4 الى 5	2 الى 3 كربلات تندمج تشكل مبيض كبير
9	الشوندر	Beta vulgaris var. vulgaris	Amaranthaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 تبالات		4 الى 5	2 الى 3 كربلات تندمج تشكل مبيض كبير
